Mouse_ID,Species,Strain,Sex,Family,DOB,Habitat,Treatment,Replicate,Cage_ID,DOD,Elevation,Date Sectioned,Section Initials,Cork?,Section notes,#slides,Slide Stained (ALK),Date stained (ALK),ALK image date,Initials,Slide Stained (SDH),Date stained (SDH),SDH image date,Initials,Stain Notes,Quantification Notes
AZ_F1_206_a,P. aztecus,AZ,M,AZ_206,12/2/15,highland,4500,1,AZ_4500-1,7/6/16,3200,,,,,,,,,,,,,,"cracked and broken cells, 14 images",
AZ_F1_207_b,P. aztecus,AZ,F,AZ_207,1/11/16,highland,3000,2,AZ_3000-2,7/5/16,3200,8/3/18,NO,yes,,4,slide 1,3/7/19,,,4,1/21/20,2/27/20,HE,"broken and cracked cells, 6 images",
AZ_F1_207_c,P. aztecus,AZ,F,AZ_207,3/2/16,highland,4500,2,AZ_4500-2,7/7/16,3200,2/23/18,NO,Yes,,6,slide 2,,,,3,4/1/19,4/11/19,HE,,
AZ_F1_3_b,P. aztecus,AZ,F,AZ-3,5/14/15,highland,4500,2,AZ_4500-2,7/7/16,3200,,,,,,,,,,4,1/15/20,2/25/20,HE,,
AZ_F1_3_e,P. aztecus,AZ,,,,,,,,,,,,,,,,,,,2,1/21/20,2/27/20,HE,,
AZ_F1_3_f,P. aztecus,AZ,F,AZ-3,7/11/15,highland,1000,2,AZ_1000-2,7/3/16,3200,2/23/18,NO,Yes,"Slide 4 is best, 3/4 mark hole in muscle ",6,slide 2,,,,4,4/10/19,5/8/19,HE,,
AZ_F1_3_g,P. aztecus,AZ,F,AZ-3,7/11/15,highland,3000,2,AZ_3000-2,7/5/16,3200,,,,,,,,,,4,1/14/20,2/21/20,HE,,
AZ_F1_7_a,P. aztecus,AZ,M,AZ-7,1/22/15,highland,4500,1,AZ_4500-1,7/6/16,3200,,,,,,,,,,4,1/15/20,2/21/20,HE,,
AZ_F1_7_b,P. aztecus,AZ,F,AZ-7,4/9/15,highland,4500,2,AZ_4500-2,7/7/16,3200,,NO,,,,slide 1,3/14/19,,,2,1/21/20,2/27/20,HE,"air bubbles, cracking and broken cells",
AZ_F1_7_c,P. aztecus,AZ,M,AZ-7,4/9/15,highland,3000,1,AZ_3000-1,7/4/16,3200,,,,,,,,,,4,1/14/20,2/21/20,HE,less stained than others,
AZ_F1_7_d,P. aztecus,AZ,M,AZ-7,6/12/15,highland,1000,1,AZ_1000-1,7/2/16,3200,,,,,,,,,,,,,,,
AZ_F1_7_f,P. aztecus,AZ,F,AZ-7,7/28/15,highland,1000,2,AZ_1000-2,7/3/16,3200,,,,,,,,,,4,1/15/20,2/25/20,HE,,"Image 4 difficult to decipher cells, but could try and make out. "
LN_F1_114_a,P. maniculatus,LN,F,LN_114,2/18/15,lowland,1000,2,LN_1000-2,5/12/16,360,,,,,,,,,,4,8/23/19,2/4/20,HE,,
LN_F1_114_c,P. maniculatus,LN,F,LN_114,2/18/15,lowland,3000,2,LN_3000-2,5/10/16,360,,,,,,,,,,4,1/14/20,2/4/20,HE,UNIMAGEABLE-LESS THAN 75%,
LN_F1_114_e,P. maniculatus,LN,M,LN_114,2/18/15,lowland,3000,1,LN_3000-1,5/7/16,360,,,,,,,,,,,,,,air bubbles,
LN_F1_114_f,P. maniculatus,LN,M,LN_114,2/18/15,lowland,4500,1,LN_4500-1,5/9/16,360,,,,,,,,,,,,,,"broken cells, 14 images",
LN_F1_114_i,P. maniculatus,LN,F,LN_114,3/16/15,lowland,1000,2,LN_1000-2,5/12/16,360,,,,,,,,,,4,8/20/19,1/27/20,HE ,"soleus, air bubbles",
LN_F1_114_j,P. maniculatus,LN,F,LN_114,3/16/15,lowland,4500,2,LN_4500-2,5/11/16,360,,,,,,,,,,4,8/23/19,1/29/20,HE ,,
LN_F1_121_b,P. maniculatus,LN,F,LN_121,11/15/15,lowland,1000,2,LN_1000-2,5/12/16,360,,,,,,,,,,,,,,,
LN_F1_121_d,P. maniculatus,LN,M,LN_121,11/15/15,lowland,1000,1,LN_1000-1,5/5/16,360,,,,,,,,,,,,,,,
LN_F1_121_f,P. maniculatus,LN,F,LN_121,12/9/15,lowland,3000,2,LN_3000-2,5/10/16,360,8/9/18,NO,yes,labeled ad LS_121_f,4,slide 2,3/7/19,,,3,1/21/20,3/2/20,HE,,
LN_F1_121_g,,,,,,,,,,,,,,,,,,,,,4,1/14/20,2/4/20,HE,,
LN_F1_121_h,P. maniculatus,LN,M,LN_121,12/9/15,lowland,3000,1,LN_3000-1,5/7/16,360,,,,,,,,,,,,,,13 images,
LN_F1_121_i,P. maniculatus,LN,M,LN_121,12/9/15,lowland,4500,1,LN_4500-1,5/9/16,360,,,,,,,,,,,,,,NO PIGEMENT=UNIMAGEABLE,
LN_F1_121_o,P. maniculatus,LN,F,LN_121,1/29/16,lowland,4500,2,LN_4500-2,7/7/16,360,,,,,,,,,,4,1/14/20,2/21/20,HE,,
LN_F1_121_p,P. maniculatus,LN,M,LN_121,1/29/16,lowland,3000,3,LN_3000-3,,360,3/16/18,NO,No,"Slides 2,3,4 are best Holes in Muscle through out",6,slide 1,,,,2,4/10/19,5/8/19,HE,blurry,
LN_F1_201_b,P. maniculatus,LN,M,LN_201,12/4/15,lowland,1000,1,LN_1000-1,5/5/16,360,,,,,,,,,,,,,,,
LN_F1_201_c,P. maniculatus,LN,F,LN_201,12/28/15,lowland,4500,3,LN_4500-3,,360,6/12/18,NO,No,,6,slide 1,,,,6,4/17/19,4/19/19,SD,"blurry, hard to see cells, 14 images",
LN_F1_201_d,P. maniculatus,LN,F,LN_201,12/28/15,lowland,3000,2,LN_3000-2,5/10/16,360,,,,,,,,,,4,8/20/19,1/29/20,HE ,,
LN_F1_201_e,P. maniculatus,LN,M,LN_201,12/28/15,lowland,3000,1,LN_3000-1,5/7/16,360,,,,,,,,,,,,,,small Sections,
LN_F1_201_f,P. maniculatus,LN,F,LN_201,1/19/16,lowland,4500,2,LN_4500-2,7/7/16,360,,NO,,no date,,slide 1,3/1/19,3/22/19,HE,3,1/21/20,3/2/20,HE,,
LN_F1_201_k,P. maniculatus,LN,F,LN_201,2/12/16,lowland,1000,3,LN_1000-3,,360,,NO,,,,slide 3,3/7/19,,,2,3/26/19,3/28/19,HE,broken and cracked cells,
LN_F1_201_l,P. maniculatus,LN,F,LN_201,2/12/16,lowland,4500,3,LN_4500-3,,360,7/10/18,NO,no,"tissue easily torn, not fully embedded in OCT",4,slide 1,3/1/19,,,2,4/25/19,5/7/19,SD,,
LN_F1_201_n,P. maniculatus,LN,F,LN_201,2/12/16,lowland,1000,3,LN_1000-3,,360,,NO,,,,slide 1,3/14/19,,,4,3/26/19,3/28/19,HE,blurry,
LN_F1_201_o,P. maniculatus,LN,M,LN_201,2/12/16,lowland,3000,3,LN_3000-3,,360,3/2/18,NO,No,"Slide 4 is best, 3/4 mark hole in muscle ",6,slide 2,,,,3,4/1/19,4/11/19,SD,NO PIGMENT=UNIMAGEABLE,
LN_F1_202_b,P. maniculatus,LN,M,LN_202,11/25/15,lowland,1000,1,LN_1000-1,5/5/16,360,,,,,,,,,,,,,,,
LN_F1_202_c,P. maniculatus,LN,M,LN_202,11/25/15,lowland,4500,1,LN_4500-1,5/9/16,360,,,,,,,,,,,,,,"air bubbles, 11 images",
LN_F1_202_d,,,,,,,,,,,,,,,,,,,,,4,8/23/19,2/4/20,HE,,
LN_F1_202_f,P. maniculatus,LN,M,LN_202,12/28/15,lowland,3000,3,LN_3000-3,,360,3/30/18,NO,No,,6,slide 1,,,,6,4/10/19,5/8/19,HE,"lots of breakage, soleus",
LN_F1_202_k,P. maniculatus,LN,F,LN_202,2/18/16,lowland,1000,3,LN_1000-3,,360,,NO,,no date,,slide 1,3/1/19,,,4,1/15/20,2/26/20,HE,,Unable to decipher image 6 and 7 cells. Image 10 was difficult to decipher glycolytic cells. 
LN_F1_202_l,P. maniculatus,LN,F,LN_202,2/18/16,lowland,4500,3,LN_4500-3,,360,3/9/18,NO,No,,6,slide 2,,,,3,4/10/19,4/11/19,HE,"broken and cracked cells, 13 images",
LS_F1_202_a,P. leucopus,LS,F,LS_202,11/16/15,lowland,4500,2,LS_4500-2,5/11/16,360,,,,,,,,,,4,8/23/19,2/4/20,HE,"air bubbles, 13 images",
LS_F1_202_e,P. leucopus,LS,M,LS_202,11/16/15,lowland,3000,1,LS_3000-1,5/7/16,360,,,,,,,,,,,,,,,
LS_F1_202_g,P. leucopus,LS,F,LS_202,12/17/15,lowland,1000,2,LS_1000-2,5/12/16,360,,,,,,,,,,,,,,,
LS_F1_202_h,P. leucopus,LS,F,LS_202,12/17/15,lowland,3000,2,LS_3000-2,5/10/16,360,,,,,,,,,,4,8/20/19,1/28/20,HE,"large soleus(avoided), lots of long cells",
LS_F1_202_j,P. leucopus,LS,M,LS_202,12/17/15,lowland,1000,1,LS_1000-1,5/5/16,360,,,,,,,,,,,,,,,
LS_F1_202_k,P. leucopus,LS,M,LS_202,12/17/15,lowland,1000,3,LS_1000-3,,360,7/11/18,NO,no,"LS_208_k on foil??, avoid slide 4",4,,,,,2,4/25/19,5/7/19,SD,"soleus, broken and cracked cells, 13 images",THIS ONE WAS NOT PUT IN
LS_F1_202_m,P. leucopus,LS,M,LS_202,12/17/15,lowland,4500,1,LS_4500-1,5/9/16,360,,,,,,,,,,,,,,"air bubbles, small section, 4 images",
LS_F1_202_t,P. leucopus,LS,F,LS_202,2/21/16,lowland,3000,3,LS_3000-3,,360,,,,,,,,,,,,,,"Small sections, broken and long cells, blurry",
LS_F1_202_v,P. leucopus,LS,M,LS_202,2/21/16,lowland,4500,3,LS_4500-3,,360,7/11/18,NO,no,,4,slide 1,3/1/19,,,2,4/25/19,5/7/19,SD,broken and cracked cells,"Glycolytic cells in image 9, 10, 12, and 15 nondecipherable. "
LS_F1_206_a,P. leucopus,LS,F,LS_206,11/14/15,lowland,4500,2,LS_4500-2,5/11/16,360,,,,,,,,,,4,8/23/19,1/29/20,HE,,
LS_F1_206_c,P. leucopus,LS,F,LS_206,11/14/15,lowland,4500,2,LS_4500-2,5/11/16,360,,,,,,,,,,4,8/23/19,2/4/20,HE,,
LS_F1_206_e,P. leucopus,LS,M,LS_206,11/14/15,lowland,1000,1,LS_1000-1,5/5/16,360,,,,,,,,,,,,,,,
LS_F1_206_l,P. leucopus,LS,F,LS_206,4/15/16,lowland,3000,3,LS_3000-3,,360,,,,,,,,,,,,,,,
LS_F1_206_n,P. leucopus,LS,M,LS_206,4/15/16,lowland,1000,3,LS_1000-3,,360,,,,,,,,,,,,,,"air bubbles (avoided), broken and cracked cells, 13 images",
LS_F1_206_o,P. leucopus,LS,M,LS_206,4/15/16,lowland,4500,3,LS_4500-3,,360,7/11/18,NO,no,"avoid slide 3, not fully embedded",4,slide 1,3/1/19,,,2,4/25/19,5/1/19,SD,,Glycolytic cells on image 10 and 14 indecipherable. 
LS_F1_207_c,P. leucopus,LS,F,LS_207,11/11/15,lowland,1000,2,LS_1000-2,5/12/16,360,8/9/18,NO,yes,,4,slide 2,3/7/19,,,3,1/21/20,3/2/20,HE,,
LS_F1_207_e,P. leucopus,LS,M,LS_207,11/11/15,lowland,1000,1,LS_1000-1,5/5/16,360,,,,,,,,,,,,,,,
LS_F1_207_h,P. leucopus,LS,F,LS_207,12/13/15,lowland,3000,2,LS_3000-2,5/10/16,360,8/9/18,NO,yes,"large hole in OCT, section not fully surrounded ",4,slide 1,3/7/19,,,2,1/21/20,2/27/20,HE,,"Image 10 difficult to decipher individual cells, but could try and make out. "
LS_F1_207_i,P. leucopus,LS,M,LS_207,12/13/15,lowland,3000,1,LS_3000-1,5/7/16,360,,,,,,,,,,,,,,14 images,
LS_F1_207_j,P. leucopus,LS,M,LS_207,12/13/15,lowland,4500,1,LS_4500-1,5/9/16,360,,,,,,,,,,,,,,,
LS_F1_207_k,P. leucopus,LS,M,LS_207,12/13/15,lowland,4500,1,LS_4500-1,5/9/16,360,,,,,,,,,,,,,,UNIMAGABLE-LESS THAN 75%,
LS_F1_208_a,P. leucopus,LS,F,LS_208,11/16/15,lowland,3000,2,LS_3000-2,5/10/16,360,,,,,,,,,,4,8/23/19,1/29/20,HE,"contains Soleus, blurry images, and only able to get 14 images",
LS_F1_208_b,P. leucopus,LS,F,LS_208,11/16/15,lowland,1000,2,LS_1000-2,7/8/16,360,2/16/18,NO,yes,,7,slide 1,,,,2,4/1/19,4/11/19,SD,broke the white-end tip of slide-still readable,
LS_F1_208_d,P. leucopus,LS,M,LS_208,11/16/15,lowland,3000,1,LS_3000-1,5/7/16,360,,,,,,,,,,,,, m,,
LS_F1_208_f,P. leucopus,LS,F,LS-208,1/17/16,lowland,3000,3,LS_3000-3,,360,5/15/18,NO,No,,6,slide 1,,,,6,4/17/19,4/19/19,SD,"NO PIGMENT=UNIMAGEABLE, 14 images were taken",
LS_F1_208_j,P. leucopus,LS,M,LS-208,1/17/16,lowland,1000,3,LS_1000-3,,360,,,,,,,,,,4,1/15/20,2/21/20,HE,"small sections, long cells, blurry, air bubbles, 8 images",
LS_F1_208_k,P. leucopus,LS,M,LS-208,1/17/16,lowland,4500,3,LS_4500-3,,360,,,,,,,,,,,,,,"long cells, 10 images",
ME_F1_104_ac,P. maniculatus,ME,F,ME_104,6/22/15,highland,3000,2,ME_3000-2,5/10/16,4200,,,,,,,,,,4,1/20/20,2/4/20,HE,,
ME_F1_104_f,P. maniculatus,ME,M,ME_104,3/23/15,highland,1000,1,ME_1000-1,5/5/16,4200,,,,,,,,,,,,,,,
ME_F1_104_m,P. maniculatus,ME,M,ME_104,4/20/15,highland,3000,1,ME_3000-1,5/7/16,4200,,,,,,,,,,,,,,4/24/19-too light needs to be restained,
ME_F1_104_v,P. maniculatus,ME,F,ME_104,5/18/15,highland,1000,2,ME_1000-2,5/6/16,4200,,,,,,,,,,,,,,all sections had air bubbles,
ME_F1_104_w,P. maniculatus,ME,F,ME_104,5/18/15,highland,4500,2,ME_4500-2,5/11/16,4200,8/9/18,NO,no,avoid slide 1,4,slide 1 ,3/1/19,,,4,1/21/20,2/27/20,HE,18 images,
ME_F1_104_y,P. maniculatus,ME,M,ME_104,6/22/15,highland,4500,1,ME_4500-1,5/9/16,4200,,,,ME_F1_107y?,,,,,,4,4/1/19,4/11/19,SD,NO PIGMENT=UNIMAGEABLE,
ME_F1_106_b,P. maniculatus,ME,M,ME_106,1/13/15,highland,3000,1,ME_3000-1,5/7/16,4200,,,,,,,,,,,,,,13 images,
ME_F1_106_c,P. maniculatus,ME,F,ME_106,1/13/15,highland,1000,2,ME_1000-2,5/6/16,4200,,,,,,,,,,,,,,12 images,
ME_F1_106_d,P. maniculatus,ME,F,ME_106,1/13/15,highland,3000,2,ME_3000-2,5/10/16,4200,,,,,,,,,,4,8/20/19,1/28/20,HE,,
ME_F1_106_f,P. maniculatus,ME,M,ME_106,2/6/15,highland,4500,1,ME_4500-1,5/9/16,4200,,,,,,,,,,,,,,,
ME_F1_108_d,P. maniculatus,ME,M,ME_108,6/7/15,highland,1000,1,ME_1000-1,5/5/16,4200,,,,,,,,,,,,,,"large soleus, 12 images",
ME_F1_108_e,P. maniculatus,ME,M,ME_108,6/7/15,highland,3000,1,ME_3000-1,5/7/16,4200,,,,,,,,,,,,,,,
ME_F1_108_h,P. maniculatus,ME,F,ME_108,7/29/15,highland,4500,2,ME_4500-2,5/11/16,4200,,,,,,,,,,4,8/20/19,1/29/20,HE,"different colloration and avoided, large cracks, 13 images",
ME_F1_201_a,P. maniculatus,ME,F,ME_201,4/10/16,highland,1000,3,ME_1000-3,,4200,,NO,,,,slide 1,,,,2,4/17/19,5/2/19,SD,15 images,Very difficult to decipher glycolitic cells in images 14 and 15 
ME_F1_201_b,P. maniculatus,ME,F,ME_201,4/10/16,highland,4500,3,ME_4500-3,,4200,6/12/18,NO,No,avoid slide 6,6,slide 1,,3/22/19,HE,2,4/17/19,5/1/19,SD,"broken and cracked cells, 8 images",Glycolytic cells on image 15 indecipherable. 
ME_F1_202_a,P. maniculatus,ME,F,ME_202,12/9/15,highland,4500,2,ME_4500-2,5/11/16,4200,,,,,,,,,,4,8/20/19,1/27/20,HE,"small section, 12 images",
ME_F1_202_c,P. maniculatus,ME,M,ME_202,12/9/15,highland,1000,1,ME_1000-1,5/5/16,4200,,,,,,,,,,,,,,,
ME_F1_202_d,P. maniculatus,ME,M,ME_202,12/9/15,highland,4500,1,ME_4500-1,5/9/16,4200,,,,,,,,,,,,,,NO PIGMENT=UNIMAGABLE,
ME_F1_202_e,P. maniculatus,ME,M,ME_202,12/9/15,highland,3000,3,ME_3000-3,,4200,,,,,,,,,,,,,,"Not sectioned well, the stain didnt work well on the Left section, Long cells",
ME_F1_203_a,P. maniculatus,ME,F,ME_203,12/7/15,highland,1000,3,ME_1000-3,,4200,,,,,,,,,,4,1/15/29,2/26/20,HE,,
ME_F1_203_b,P. maniculatus,ME,F,ME_203,12/7/15,highland,4500,3,ME_4500-3,,4200,7/10/18,NO,no,,4,slide 1,3/14/19,,,4,4/17/19,5/2/19,SD,,
ME_F1_203_e,P. maniculatus,ME,M,ME_203,12/7/15,highland,3000,3,ME_3000-3,,4200,3/2/18,NO,No,tube out of place; do not extract,6,slide 1,,,,3-Feb,3/26/19,3/28/19,HE,"broken and cracked cells, 11 images",
ME_F1_204_a,P. maniculatus,ME,F,ME_204,12/11/15,highland,1000,2,ME_1000-2,5/6/16,4200,,,,,,,,,,,,,,,
ME_F1_204_b,P. maniculatus,ME,F,ME_204,12/11/15,highland,1000,3,ME_1000-3,,4200,,,,,,,,,,,,,,soleus,
ME_F1_204_c,P. maniculatus,ME,F,ME_204,12/11/15,highland,4500,3,ME_4500-3,,4200,3/16/18,NO,No,"Hole @ 1/4 mark, all samples taken at this point not very good",6,slide 1,,,,4,3/26/19,3/28/19,HE,13 images,
ME_F1_204_o,P. maniculatus,ME,M,ME_204,2/21/16,highland,3000,3,ME_3000-3,,4200,8/1/18,NO,no,refrozen to fill holes on 7/11/2018,4,slide 1,3/1/19,,,2,4/25/19,5/7/19,SD,,Could not decipher image 14. 
ME_F1_208_a,P. maniculatus,ME,F,ME_208,11/29/15,highland,3000,2,ME_3000-2,5/10/16,4200,,,,,,,,,,4,8/20/19,3/2/20,HE,,
ML_F1_1_b,P. melanophrys,ML,F,ML-1,8/5/15,highland,3000,2,ML_3000-2,5/10/16,1500,,,,,,,,,,4,8/20/19,1/28/20,HE,soleus(avoided),
ML_F1_10_a,P. melanophrys,ML,F,ML-10,3/16/15,highland,1000,2,ML_1000-2,5/6/16,1500,,,,,,,,,,,,,,lightly stained,
ML_F1_10_b,P. melanophrys,ML,F,ML-10,4/13/15,highland,3000,2,ML_3000-2,5/10/16,1500,,,,,,,,,,,,,,"blurry, 12 images",
ML_F1_10_f,P. melanophrys,ML,M,ML-10,6/8/15,highland,3000,1,ML_3000-1,5/7/16,1500,,,,,,,,,,,,,,,
ML_F1_201_b,P. melanophrys,ML,M,ML_201,12/7/15,highland,1000,1,ML_1000-1,5/5/16,1500,,,,,,,,,,,,,,Air Bubbles,
ML_F1_201_c,P. melanophrys,ML,F,ML_201,2/8/16,highland,3000,3,ML_3000-3,,1500,5/15/18,NO,No,,6,slide 2,,,,3,1/16/20,2/26/20,HE,,
ML_F1_201_d,P. melanophrys,ML,M,ML_201,2/8/16,highland,1000,3,ML_1000-3,,1500,8/1/18,NO,no,,4,slide 1,3/7/19,,,3,1/16/20,2/27/20,HE,,
ML_F1_201_g,P. melanophrys,ML,M,ML_201,6/23/16,highland,4500,3,ML_4500-3,,1500,6/12/18,NO,No,"Not useable, large hole in OCT, shattered while trying to section",0,,,,,,,,,,
ML_F1_205_a,P. melanophrys,ML,F,ML-205,1/29/16,highland,3000,3,ML_3000-3,,1500,3/16/18,NO,No,Avoid Slide 1,6,slide 2,,,,4,4/10/19,5/1/19,HE,"large soleus, broken cells, 9 images","Can not decipher glycolytic cells in image 7, 8, 9a, 9b, 10, 11b, 13b, 14, and 16b. "
ML_F1_205_b,P. melanophrys,ML,M,ML-205,1/29/16,highland,1000,3,ML_1000-3,,1500,7/10/18,NO,no,Slides 1 and 2 best,4,slide 1,3/14/19,,,2,4/24/19,5/8/19,HE,blurry,
ML_F1_205_c,P. melanophrys,ML,M,ML-205,1/29/16,highland,1000,3,ML_1000-3,,1500,3/16/18,NO,No,,6,slide 1,,,,2,4/10/19,5/8/19,HE,blurry,
ML_F1_208_a,P. melanophrys,ML,F,ML-208,12/26/15,highland,4500,2,ML_4500-2,5/11/16,1500,,,,,,,,,,4,8/20/19,1/27/20,HE,,
ML_F1_208_b,P. melanophrys,ML,F,ML-208,12/26/15,highland,1000,2,ML_1000-2,5/6/16,1500,,,,,,,,,,,,,,,
ML_F1_208_c,P. melanophrys,ML,F,ML-208,12/26/15,highland,3000,2,ML_3000-2,5/10/16,1500,,,,,,,,,,4,8/23/19,2/4/20,HE,broken and cracked cells,
ML_F1_208_d,P. melanophrys,ML,F,ML-208,1/26/16,highland,4500,2,ML_4500-2,7/8/16,1500,2/22/18,NO,Yes,"Large Hole in OCT @3/4 Mark, 7th Slide w/ extra 3/4 samples",7,slide 3,,,,5,4/10/19,5/8/19,HE,very bad breakage in the cells,
ML_F1_208_g,P. melanophrys,ML,F,ML-208,5/22/16,highland,3000,3,ML_3000-3,,1500,3/2/18,NO,No,"Hole in muscle all the way through, Slide 3 is best",6,slide 2,,,,6,4/10/19,5/8/10,HE,,
ML_F1_208_i,P. melanophrys,ML,M,ML-208,5/22/16,highland,4500,3,ML_4500-3,,1500,4/27/18,NO,No,,6,slide 2,,,,1,4/24/19,5/8/19,HE,"12 images, small air bubbles",
ML_F1_208_j,P. melanophrys,ML,M,ML-208,7/26/16,highland,4500,3,ML_4500-3,,1500,4/19/18,NO,No,slides 5 and 6 best,6,slide 1,,,,2-Jan,4/24/19,5/8/19,HE,,"Cannot decipher glycolytic cells in image 4, 7, 8, 11, 12, and 13."
ML_F1_5_a,P. melanophrys,ML,M,ML-5,1/22/15,highland,3000,1,ML_3000-1,5/7/16,1500,,,,,,,,,,,,,,NOT A FULL SECTION=UNIMAGABLE,
ML_F1_5_d,P. melanophrys,ML,F,ML-5,4/1/15,highland,4500,2,ML_4500-2,5/11/16,1500,,,,,,,,,,4,8/20/19,1/28/20,HE,,
ML_F1_5_f,P. melanophrys,ML,M,ML-5,4/1/15,highland,4500,1,ML_4500-1,5/9/16,1500,,,,,,,,,,,,,,LESS THAN 75%=UNIMAGABLE,
ML_F1_8_c,P. melanophrys,ML,M,ML-8,4/15/15,highland,1000,1,ML_1000-1,5/5/16,1500,,,,,,,,,,,,,,Lightly Stained,
ML_F1_8_e,P. melanophrys,ML,M,ML-8,4/15/15,highland,4500,1,ML_4500-1,5/9/16,1500,,,,,,,,,,,,,,all sections small,
ML_F1_9_b,P. melanophrys,ML,F,ML-9,3/23/15,highland,4500,2,ML_4500-2,5/11/16,1500,8/9/18,NO,yes,,4,slide 1,3/7/19,,,2,1/21/20,,HE,,
ML_F1_9_c,P. melanophrys,ML,M,ML-9,3/23/15,highland,4500,1,ML_4500-1,5/9/16,1500,,,,,,,,,,,,,,LESS THAN 75%=UNIMAGABLE,
ML_F1_9_e,P. melanophrys,ML,M,ML-9,5/24/15,highland,3000,1,ML_3000-1,5/7/16,1500,,,,,,,,,,,,,,10 images,
ML_F1_9_f,P. melanophrys,ML,F,ML-9,6/24/15,highland,1000,2,ML_1000-2,5/6/16,1500,,,,,,,,,,,,,,soleus,
ML_F1_9_h,P. melanophrys,ML,M,ML-9,6/24/15,highland,1000,1,ML_1000-1,5/5/16,1500,,,,,,,,,,,,,,"air bubbles, broken and cracked",
Mus_31a,M. musculus,MUS,M,,,lowland,1000,,,,,,,,,,,,,,1,6/6/19,1/27/20,HE,,
Mus_31n,M. musculus,MUS,M,,,lowland,4500,,,,,,,,,,,,,,1,6/6/19,6/13/19,HE,"blurry, air bubbles, 13 images",
Mus_34a,M. musculus,MUS,F,,,lowland,3000,,,,,,,,,,,,,,1,5/8/19,6/12/19,HE,"small sections, air bubbles, 14 images","Glycolytic cells indechiperable in image 1, 2, 3, 10, 11, and 12."
Mus_34b,M. musculus,MUS,F,,,lowland,1000,,,,,,,,,,,,,,2,1/21/20,2/27/20,HE,"Accidently stained 2x, all sections were bad, 13 images",
